id,first_name,last_name,department,salary
1,Robert,Johnson,Support,41397
2,John,Doe,Admin,78470
3,Robert,Lee,IT,94912
4,Jane,Young,HR,54283
5,Sophia,Wilson,Marketing,46782
6,Jane,Hall,HR,78098
7,Robert,Young,Admin,107989
8,Chris,Smith,Support,61244
9,Anna,Brown,HR,90253
10,Sarah,Hall,Support,72291
11,John,Smith,IT,46529
12,Sophia,Brown,HR,55578
13,Anna,Taylor,Support,90780
14,Emily,Lee,Sales,83415
15,Jane,Clark,Sales,46047
16,Emily,Doe,Sales,62949
17,Jane,Wilson,Sales,44172
18,Chris,Clark,Support,81301
19,Sophia,Young,Sales,58590
20,Emily,Brown,Finance,48408
21,Chris,Clark,Sales,60349
22,Emily,Doe,Admin,50067
23,Sophia,Lee,Support,56358
24,Sarah,Young,HR,103070
25,Jane,Clark,Support,100589
26,Emily,Clark,Finance,71098
27,Anna,Doe,Finance,60803
28,Emily,Hall,Admin,75588
29,Anna,Johnson,Support,47046
30,Jane,Doe,Support,101743
31,Robert,Brown,Admin,64943
32,Sarah,Clark,Marketing,86353
33,John,Young,Sales,92348
34,Anna,Lee,IT,81209
35,Sarah,Hall,Sales,110125
36,Michael,Taylor,HR,84780
37,Robert,Lee,Sales,114399
38,Sarah,Brown,Admin,110349
39,John,Brown,IT,95792
40,John,Doe,IT,81725
41,Michael,Wilson,Admin,110639
42,Anna,Johnson,Support,119802
43,David,Lee,IT,119820
44,David,Hall,Marketing,112518
45,David,Wilson,Marketing,44407
46,David,Taylor,Finance,76912
47,Jane,Brown,Support,105947
48,John,Brown,IT,41886
49,Emily,Smith,Admin,72301
50,Anna,Hall,Support,111718
51,Sophia,Clark,Admin,66214
52,Sarah,Young,Support,106796
53,Robert,Taylor,Finance,59028
54,Anna,Smith,Sales,106423
55,Chris,Doe,IT,80453
56,Jane,Taylor,Support,90747
57,Sophia,Clark,Support,94958
58,Sarah,Brown,Finance,104368
59,Anna,Young,Sales,108878
60,Sophia,Doe,Marketing,63309
61,Jane,Doe,Sales,64938
62,John,Wilson,Sales,113384
63,Emily,Johnson,Admin,61023
64,Jane,Doe,IT,103088
65,Robert,Hall,Finance,70502
66,Chris,Lee,Support,110550
67,Michael,Taylor,HR,96423
68,Jane,Lee,Finance,93719
69,Chris,Smith,Admin,75921
70,Anna,Clark,HR,45920
71,Sarah,Smith,Admin,119844
72,John,Clark,Finance,119062
73,Sarah,Johnson,Support,52757
74,Michael,Lee,Marketing,64982
75,Sarah,Smith,Finance,89198
76,Jane,Young,Sales,72460
77,Sarah,Lee,Marketing,48357
78,Michael,Hall,Finance,45809
79,Anna,Taylor,IT,90433
80,Anna,Clark,IT,110297
81,Sarah,Taylor,Support,103707
82,Jane,Doe,HR,98153
83,Anna,Lee,Marketing,60807
84,Emily,Wilson,Admin,81977
85,John,Doe,Admin,78924
86,John,Clark,Marketing,51253
87,Sophia,Hall,Marketing,94479
88,Emily,Hall,Marketing,97086
89,Jane,Lee,HR,73794
90,Chris,Johnson,Admin,84687
91,John,Lee,Admin,67850
92,Anna,Smith,Sales,52867
93,Sophia,Hall,Finance,68716
94,Michael,Doe,Admin,68851
95,John,Young,Marketing,55663
96,Emily,Taylor,Sales,56667
97,Robert,Lee,Support,98731
98,John,Lee,Marketing,86700
99,Emily,Wilson,Sales,96804
100,Emily,Smith,Sales,44030
